epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,7877.01,0.79017,0.44807,0.87259,0.91387,0.43173,0.63894,0.4452,1.48307,1.76231,1.09821,0.0003764,0.0003764,0.0003764
84,7969.29,0.77861,0.43073,0.87174,0.89216,0.36172,0.58041,0.40701,1.47734,2.08094,1.11321,0.0003566,0.0003566,0.0003566
85,8062.63,0.78592,0.43357,0.87225,0.88679,0.33207,0.52065,0.35331,1.59272,2.23652,1.18567,0.0003368,0.0003368,0.0003368
86,8166.55,0.7666,0.42885,0.86898,0.87311,0.38483,0.58331,0.41317,1.48928,1.86759,1.14386,0.000317,0.000317,0.000317
87,8258.91,0.76527,0.43302,0.87052,0.82275,0.23517,0.39339,0.26232,2.09723,2.7959,1.4458,0.0002972,0.0002972,0.0002972
88,8350.9,0.77301,0.43017,0.87019,0.8722,0.35103,0.59446,0.41203,1.44891,2.13906,1.10869,0.0002774,0.0002774,0.0002774
89,8445.61,0.7669,0.4423,0.87324,0.68997,0.27089,0.38727,0.25957,1.90684,2.92218,1.37887,0.0002576,0.0002576,0.0002576
90,8539.07,0.77387,0.42876,0.86933,0.38581,0.48759,0.50423,0.3525,1.62038,2.69267,1.20306,0.0002378,0.0002378,0.0002378
91,8625.81,0.76266,0.42867,0.86181,0.88858,0.28876,0.46058,0.31075,1.70379,2.28719,1.23965,0.000218,0.000218,0.000218
92,8711.43,0.74377,0.41335,0.86215,0.86942,0.20664,0.36489,0.2437,1.99872,2.62948,1.42295,0.0001982,0.0001982,0.0001982
93,8794.79,0.74284,0.4132,0.8631,0.87618,0.23913,0.41207,0.2806,1.88364,2.50808,1.34149,0.0001784,0.0001784,0.0001784
94,8878.09,0.73611,0.40841,0.85995,0.23957,0.37414,0.35771,0.23773,1.99139,2.90555,1.41989,0.0001586,0.0001586,0.0001586
95,8960.52,0.72881,0.40971,0.86007,0.25734,0.33862,0.34085,0.22594,2.1103,3.14954,1.49721,0.0001388,0.0001388,0.0001388
96,9046.87,0.72807,0.39636,0.85714,0.29745,0.43069,0.42088,0.28968,1.78845,2.75181,1.29339,0.000119,0.000119,0.000119
97,9132.14,0.72676,0.40088,0.85628,0.27865,0.38483,0.3869,0.26008,1.92411,2.94835,1.37396,9.92e-05,9.92e-05,9.92e-05
98,9219.96,0.71986,0.38909,0.85322,0.30828,0.37345,0.39521,0.26765,1.95879,2.94995,1.38731,7.94e-05,7.94e-05,7.94e-05
99,9307.19,0.71716,0.38472,0.85486,0.30536,0.33759,0.37053,0.2526,2.06608,3.06802,1.46938,5.96e-05,5.96e-05,5.96e-05
100,9390.01,0.71952,0.38521,0.85885,0.34631,0.38034,0.41547,0.28479,1.92567,2.95545,1.3761,3.98e-05,3.98e-05,3.98e-05
